"odd_hatch","Incube_day","maleplumage","clutch_size","ring_number_female","season","incube_date","november","cor_Incubation_day"
0,86,"black-white",2,"UFVCAF000329","2019_20","26/01/2020","01/11/2019",87
1,85,"black-white",3,"UFVCAF000738","2019_20","25/01/2020","01/11/2019",86
0,84,"black-white",2,"UFVCAF000070","2018_19","24/01/2019","01/11/2018",85
1,84,"black-white",2,"UFVCAF000675","2021-22","24/01/2022","01/11/2021",85
0,84,"black-white",3,"UFVCAF000803","2021-22","24/01/2022","01/11/2021",85
0,83,"black-white",2,"UFVCAF000428","2021-22","23/01/2022","01/11/2021",84
1,82,"black-white",2,"UFVCAF000597","2020-21","22/01/2021","01/11/2020",83
0,82,"black-white",3,"UFVCAF000651","2021-22","22/01/2022","01/11/2021",83
0,81,"black-white",2,"UFVCAF000201","2021-22","21/01/2022","01/11/2021",82
1,80,"black-white",3,"D143340","2014_2015","20/01/2015","01/11/2014",81
0,80,"black-white",2,"UFVCAF000714","2019_20","20/01/2020","01/11/2019",81
1,80,"black-white",2,"UFVCAF000787","2019_20","20/01/2020","01/11/2019",81
0,80,"black-white",2,"UFVCAF000655","2021-22","20/01/2022","01/11/2021",81
1,79,"black-white",3,"UFVCAF000323","2019_20","19/01/2020","01/11/2019",80
0,78,"black-white",2,"UFVCAF000258","2018_19","18/01/2019","01/11/2018",79
0,78,"black-white",3," UFVCAF000237","2018_19","18/01/2019","01/11/2018",79
1,78,"black-white",3,"UFVCAF000732","2020-21","18/01/2021","01/11/2020",79
1,78,"black-white",2,"UFVCAF000510","2020-21","18/01/2021","01/11/2020",79
1,76,"black-white",2,"UFVCAF000255","2018_19","16/01/2019","01/11/2018",77
1,76,"black-white",3,"UFVCAF000363","2020-21","16/01/2021","01/11/2020",77
1,75,"black-white",2,"UFVCAF000005","2017_2018","15/01/2018","01/11/2017",76
1,75,"black-white",3,"UFVCAF000348","2019_20","15/01/2020","01/11/2019",76
0,75,"black-white",3,"UFVCAF000555","2020-21","15/01/2021","01/11/2020",76
1,74,"black-white",2,"UFVCAF000084","2017_2018","14/01/2018","01/11/2017",75
1,74,"black-white",3,"UFVCAF000266","2018_19","14/01/2019","01/11/2018",75
0,74,"black-white",2,"UFVCAF000495","2021-22","14/01/2022","01/11/2021",75
1,73,"black-white",3,"UFVCAF000718","2019_20","13/01/2020","01/11/2019",74
1,73,"black-white",3,"UFVCAF000281","2019_20","13/01/2020","01/11/2019",74
1,72,"black-white",3,"UFVCAF000169","2018_19","12/01/2019","01/11/2018",73
0,72,"black-white",3,"UFVCAF000507","2020-21","12/01/2021","01/11/2020",73
1,71,"black-white",2,"UFVCAF000008","2017_2018","11/01/2018","01/11/2017",72
1,71,"black-white",3,"UFVCAF000281","2018_19","11/01/2019","01/11/2018",72
0,71,"black-white",2,"UFVCAF000506","2020-21","11/01/2021","01/11/2020",72
0,70,"black-white",2,"UFVCAF000075","2019_20","10/01/2020","01/11/2019",71
1,70,"black-white",3,"UFVCAF000334","2019_20","10/01/2020","01/11/2019",71
1,70,"black-white",3,"UFVCAF000328","2019_20","10/01/2020","01/11/2019",71
0,69,"black-white",2,"UFVCAF000125","2018_19","09/01/2019","01/11/2018",70
1,69,"black-white",2,"UFVCAF000732","2019_20","09/01/2020","01/11/2019",70
0,69,"black-white",3,"UFVCAF000501","2020-21","09/01/2021","01/11/2020",70
1,68,"black-white",3,"UFVCAF000233","2018_19","08/01/2019","01/11/2018",69
1,67,"black-white",3,"UFVCAF000288","2019_20","07/01/2020","01/11/2019",68
1,67,"black-white",2,"UFVCAF000317","2019_20","07/01/2020","01/11/2019",68
0,66,"black-white",2,"UFVCAF000747","2019_20","06/01/2020","01/11/2019",67
1,65,"black-white",3,"UFVCAF000023","2017_2018","05/01/2018","01/11/2017",66
1,65,"black-white",3,"UFVCAF000051","2017_2018","05/01/2018","01/11/2017",66
1,65,"black-white",3,"UFVCAF000749","2019_20","05/01/2020","01/11/2019",66
1,65,"black-white",3,"UFVCAF000319","2019_20","05/01/2020","01/11/2019",66
1,64,"black-white",3,"UFVCAF000336","2019_20","04/01/2020","01/11/2019",65
1,64,"black-white",2,"UFVCAF000329","2019_20","04/01/2020","01/11/2019",65
1,64,"black-white",3,"UFVCAF000322","2019_20","04/01/2020","01/11/2019",65
1,63,"black-white",3,"UFVCAF000050","2017_2018","03/01/2018","01/11/2017",64
1,63,"black-white",3,"UFVCAF000200","2018_19","03/01/2019","01/11/2018",64
0,63,"black-white",2,"UFVCAF000280","2019_20","03/01/2020","01/11/2019",64
1,63,"black-white",2,"UFVCAF000713","2019_20","03/01/2020","01/11/2019",64
1,63,"black-white",3,"UFVCAF000597","2020-21","03/01/2021","01/11/2020",64
1,63,"black-white",2,"UFVCAF000570","2020-21","03/01/2021","01/11/2020",64
0,63,"black-white",3,"UFVCAF000201","2021-22","03/01/2022","01/11/2021",64
1,62,"black-white",3,"UFVCAF000051","2021-22","02/01/2022","01/11/2021",63
1,61,"black-white",2,"D143311","2014_2015","01/01/2015","01/11/2014",62
1,61,"black-white",3,"UFVCAF000041","2019_20","01/01/2020","01/11/2019",62
1,61,"black-white",2,"UFVCAF000318","2019_20","01/01/2020","01/11/2019",62
1,60,"black-white",3,"UFVCAF000565","2020-21","31/12/2020","01/11/2020",61
0,59,"black-white",3,"D143340","2014_2015","30/12/2014","01/11/2014",60
0,59,"black-white",2,"UFVCAF000347","2019_20","30/12/2019","01/11/2019",60
0,58,"black-white",2,"D143315","2014_2015","29/12/2014","01/11/2014",59
1,58,"black-white",3,"UFVCAF000058","2018_19","29/12/2018","01/11/2018",59
0,58,"black-white",2,"UFVCAF000317","2019_20","29/12/2019","01/11/2019",59
1,58,"black-white",2,"UFVCAF000342","2019_20","29/12/2019","01/11/2019",59
0,58,"black-white",2,"UFVCAF000835","2020-21","29/12/2020","01/11/2020",59
0,58,"black-white",2,"UFVCAF000566","2020-21","29/12/2020","01/11/2020",59
0,57,"black-white",3,"UFVCAF000005","2017_2018","28/12/2017","01/11/2017",58
0,57,"black-white",2,"UFVCAF000742","2019_20","28/12/2019","01/11/2019",58
1,57,"black-white",3,"UFVCAF000358","2020-21","28/12/2020","01/11/2020",58
1,57,"black-white",2,"UFVCAF000555","2020-21","28/12/2020","01/11/2020",58
1,57,"black-white",3,"UFVCAF000649","2020-21","28/12/2020","01/11/2020",58
1,56,"black-white",3,"UFVCAF000165","2018_19","27/12/2018","01/11/2018",57
0,56,"black-white",2,"UFVCAF000334","2019_20","27/12/2019","01/11/2019",57
0,56,"black-white",2,"UFVCAF000329","2019_20","27/12/2019","01/11/2019",57
0,56,"black-white",3,"UFVCAF000281","2019_20","27/12/2019","01/11/2019",57
0,56,"black-white",2,"UFVCAF000201","2019_20","27/12/2019","01/11/2019",57
1,56,"black-white",3,"UFVCAF000270","2019_20","27/12/2019","01/11/2019",57
1,56,"black-white",3,"UFVCAF000281","2020-21","27/12/2020","01/11/2020",57
1,56,"black-white",3,"UFVCAF000841","2021-22","27/12/2021","01/11/2021",57
0,56,"black-white",3,"UFVCAF000404","2021-22","27/12/2021","01/11/2021",57
0,55,"black-white",3,"UFVCAF000014","2017_2018","26/12/2017","01/11/2017",56
1,55,"black-white",3,"UFVCAF000004","2017_2018","26/12/2017","01/11/2017",56
0,55,"black-white",3,"UFVCAF000172","2018_19","26/12/2018","01/11/2018",56
1,55,"black-white",3,"UFVCAF000368 ","2020-21","26/12/2020","01/11/2020",56
1,54,"black-white",3,"UFVCAF000324","2019_20","25/12/2019","01/11/2019",55
0,54,"black-white",2,"UFVCAF000525","2021-22","25/12/2021","01/11/2021",55
1,53,"black-white",2,"UFVCAF000348","2019_20","24/12/2019","01/11/2019",54
1,53,"black-white",3,"UFVCAF000201","2020-21","24/12/2020","01/11/2020",54
1,52,"black-white",3,"UFVCAF000363","2020-21","23/12/2020","01/11/2020",53
1,51,"black-white",3,"UFVCAF000504","2020-21","22/12/2020","01/11/2020",52
1,51,"black-white",3,"UFVCAF000669","2021-22","22/12/2021","01/11/2021",52
0,50,"black-white",2,"UFVCAF000565","2020-21","21/12/2020","01/11/2020",51
1,49,"black-white",2,"UFVCAF000328","2019_20","20/12/2019","01/11/2019",50
1,49,"black-white",2,"UFVCAF000347","2020-21","20/12/2020","01/11/2020",50
1,49,"black-white",3,"UFVCAF000673","2021-22","20/12/2021","01/11/2021",50
0,49,"black-white",2,"UFVCAF000444","2021-22","20/12/2021","01/11/2021",50
0,49,"black-white",3,"UFVCAF000401","2021-22","20/12/2021","01/11/2021",50
1,48,"black-white",3,"UFVCAF000249","2018_19","19/12/2018","01/11/2018",49
0,48,"black-white",3,"UFVCAF000672","2021-22","19/12/2021","01/11/2021",49
1,47,"black-white",2,"UFVCAF000166","2018_19","18/12/2018","01/11/2018",48
1,47,"black-white",3,"UFVCAF000073","2018_19","18/12/2018","01/11/2018",48
1,45,"black-white",2,"UFVCAF000281","2018_19","16/12/2018","01/11/2018",46
1,45,"black-white",3,"UFVCAF000181","2018_19","16/12/2018","01/11/2018",46
1,45,"black-white",3,"UFVCAF000441","2021-22","16/12/2021","01/11/2021",46
1,44,"black-white",3,"UFVCAF000105","2018_19","15/12/2018","01/11/2018",45
1,43,"black-white",2,"UFVCAF000125","2018_19","14/12/2018","01/11/2018",44
1,40,"black-white",2,"UFVCAF000169","2018_19","11/12/2018","01/11/2018",41
0,40,"black-white",2,"UFVCAF000439","2021-22","11/12/2021","01/11/2021",41
0,40,"black-white",3,"UFVCAF000013","2021-22","11/12/2021","01/11/2021",41
0,39,"black-white",2,"UFVCAF000201","2021-22","10/12/2021","01/11/2021",40
1,132,"brown",2,"UFVCAF000056","2017_2018","13/03/2018","01/11/2017",133
1,122,"brown",2,"UFVCAF000058","2018_19","03/03/2019","01/11/2018",123
1,119,"brown",2,"UFVCAF000118","2017_2018","28/02/2018","01/11/2017",120
1,119,"brown",2,"UFVCAF000281","2017_2018","28/02/2018","01/11/2017",120
1,110,"brown",2,"UFVCAF000205","2018_19","19/02/2019","01/11/2018",111
1,108,"brown",2,"UFVCAF000734","2019_20","17/02/2020","01/11/2019",109
1,105,"brown",2,"UFVCAF000115","2017_2018","14/02/2018","01/11/2017",106
0,102,"brown",3,"UFVCAF000092","2017_2018","11/02/2018","01/11/2017",103
0,98,"brown",2,"UFVCAF000745","2019_20","07/02/2020","01/11/2019",99
1,97,"brown",2,"UFVCAF000723","2019_20","06/02/2020","01/11/2019",98
0,95,"brown",2,"UFVCAF000438","2021-22","04/02/2022","01/11/2021",96
0,94,"brown",2,"UFVCAF000520","2020-21","03/02/2021","01/11/2020",95
1,93,"brown",2,"UFVCAF000796","2019_20","02/02/2020","01/11/2019",94
1,90,"brown",3,"UFVCAF000764","2019_20","30/01/2020","01/11/2019",91
1,80,"brown",2,"UFVCAF000761","2019_20","20/01/2020","01/11/2019",81
0,78,"brown",3,"UFVCAF000745","2019_20","18/01/2020","01/11/2019",79
1,75,"brown",2,"UFVCAF000513","2020-21","15/01/2021","01/11/2020",76
1,74,"brown",3,"UFVCAF000709","2019_20","14/01/2020","01/11/2019",75
1,73,"brown",2,"UFVCAF000260","2018_19","13/01/2019","01/11/2018",74
1,72,"brown",3,"UFVCAF000041","2018_19","12/01/2019","01/11/2018",73
0,71,"brown",3,"UFVCAF000719","2019_20","11/01/2020","01/11/2019",72
0,70,"brown",2,"UFVCAF000727","2019_20","10/01/2020","01/11/2019",71
1,69,"brown",3,"UFVCAF000723","2019_20","09/01/2020","01/11/2019",70
0,65,"brown",2,"UFVCAF000569","2020-21","05/01/2021","01/11/2020",66
0,64,"brown",2,"UFVCAF000391","2019_20","04/01/2020","01/11/2019",65
0,63,"brown",2,"UFVCAF000195","2018_19","03/01/2019","01/11/2018",64
1,63,"brown",2,"UFVCAF000567","2020-21","03/01/2021","01/11/2020",64
1,54,"brown",3,"UFVCAF000115","2018_19","25/12/2018","01/11/2018",55
1,54,"brown",3,"UFVCAF000000","2018_19","25/12/2018","01/11/2018",55
1,52,"brown",3,"UFVCAF000250","2018_19","23/12/2018","01/11/2018",53
0,47,"brown",2,"UFVCAF000438","2021-22","18/12/2021","01/11/2021",48
